7047,-0.599999972752162,1,-0.76,0.454499969482422,-0.0194999694824219,1,0.733333333333333,-1,-1,-0.733333333333333,0,1,0.6
9139,-0.497142859867641,1,-0.72,0.129499969482422,-0.130500030517578,1,-0.6,-0.2,-0.2,-1,3,0,-1
11756,-0.13853999546596,-1,-0.6,0.455,0.213000030517578,-1,1,-1,-1,-1,1,2,0.821428571428571
15002,0.110052517482213,1,-0.52,-0.250500030517578,0.0184999847412109,-0.5,-0.571428571428571,-0.392857142857143,-0.214285714285714,-0.821428571428571,1,0,0.818181818181818
7984,-0.599999972752162,0.5,-0.76,-0.4725,0.0934999847412109,1,-1,-1,0.105263157894737,-0.105263157894737,1,0,1
9780,-0.497142859867641,1,-0.72,0.0475,-0.2375,1,-1,-1,-1,-1,2,3,-0.578947368421053
12016,0.0700370243617466,0,-0.52,-0.0890000152587891,-0.0965000152587891,0,-1,-1,-0.789473684210526,0.789473684210526,1,2,-1
15076,0.363828250340053,1,-0.44,0.0444999694824219,0.2325,-1,-1,-1,1,-1,1,0,0.48
19252,1.02233369009835,0.5,-0.2,-0.0919999694824219,-0.223000030517578,0.5,-0.12,-0.64,-0.64,-0.6,1,0,0.0714285714285715
5785,-0.599999972752162,1,-0.76,-0.196999969482422,0.104000015258789,1,-1,-1,0.304347826086957,-0.304347826086957,1,2,-0.684210526315789
7123,-0.497142859867641,1,-0.72,-0.05,-0.108499984741211,1,-0.684210526315789,-1,0.684210526315789,-1,2,0,-0.666666666666667
10143,-0.13853999546596,1,-0.6,0.218499984741211,0.200999984741211,0,0.666666666666667,-1,-1,-0.666666666666667,1,3,-0.2
13670,0.110052517482213,1,-0.52,-0.230999984741211,0.00199996948242187,0,-1,-1,-0.2,0.2,2,3,-0.0666666666666664
7172,-0.599999972752162,-1,-0.76,0.330500030517578,0.411999969482422,1,1,-1,-1,-1,3,0,-1
10044,-0.497142859867641,-1,-0.72,0.05,0.26,-1,1,-1,-1,-1,3,0,-0.738095238095238
12188,-0.13853999546596,-1,-0.6,0.255,0.776000061035156,-1,0.738095238095238,-0.738095238095238,-1,-1,3,0,-1
16346,0.633465221949986,-1,-0.32,0.823000030517578,0.579499969482422,-1,1,-1,-1,-1,1,0,-1
20045,1.39961106436593,-1,-0.08,0.778999938964844,0.605,-1,1,-1,-1,-1,2,0,-1
24126,2.73699978419713,-1,0.4,0.620500030517578,0.518500061035156,-1,1,-1,-1,-1,0,0,1
7475,-0.599999972752162,-0.333333333333333,-0.76,0.5475,0.0259999847412109,1,-0.172413793103448,0.172413793103448,-1,-1,1,0,-1
